,episode,actions,rewards
683,683,43,43.0
684,684,88,88.0
685,685,190,190.0
686,686,139,139.0
687,687,77,77.0
688,688,87,87.0
689,689,84,84.0
690,690,116,116.0
691,691,27,27.0
692,692,107,107.0
693,693,29,29.0
694,694,73,73.0
695,695,116,116.0
696,696,69,69.0
697,697,85,85.0
698,698,168,168.0
699,699,145,145.0
700,700,187,187.0
701,701,150,150.0
702,702,104,104.0
703,703,206,206.0
704,704,93,93.0
705,705,161,161.0
706,706,106,106.0
707,707,174,174.0
708,708,62,62.0
709,709,120,120.0
710,710,223,223.0
711,711,110,110.0
712,712,107,107.0
713,713,236,236.0
714,714,91,91.0
715,715,122,122.0
716,716,93,93.0
717,717,183,183.0
718,718,122,122.0
719,719,143,143.0
720,720,139,139.0
721,721,107,107.0
722,722,51,51.0
723,723,273,273.0
724,724,26,26.0
725,725,248,248.0
726,726,63,63.0
727,727,323,323.0
728,728,134,134.0
729,729,95,95.0
730,730,131,131.0
731,731,116,116.0
732,732,150,150.0
733,733,164,164.0
734,734,33,33.0
735,735,91,91.0
736,736,177,177.0
737,737,172,172.0
738,738,111,111.0
739,739,98,98.0
740,740,86,86.0
741,741,179,179.0
742,742,124,124.0
743,743,112,112.0
744,744,185,185.0
745,745,112,112.0
746,746,139,139.0
747,747,128,128.0
748,748,90,90.0
749,749,164,164.0
750,750,255,255.0
751,751,161,161.0
752,752,150,150.0
753,753,53,53.0
754,754,158,158.0
755,755,112,112.0
756,756,37,37.0
757,757,206,206.0
758,758,157,157.0
759,759,150,150.0
760,760,285,285.0
761,761,57,57.0
762,762,46,46.0
763,763,198,198.0
764,764,193,193.0
765,765,134,134.0
766,766,119,119.0
767,767,138,138.0
768,768,92,92.0
769,769,38,38.0
770,770,127,127.0
771,771,228,228.0
772,772,385,385.0
773,773,136,136.0
774,774,120,120.0
775,775,145,145.0
776,776,110,110.0
777,777,224,224.0
778,778,158,158.0
779,779,152,152.0
780,780,110,110.0
781,781,135,135.0
782,782,137,137.0
783,783,120,120.0
784,784,104,104.0
785,785,74,74.0
786,786,194,194.0
787,787,278,278.0
788,788,145,145.0
789,789,114,114.0
790,790,135,135.0
791,791,126,126.0
792,792,295,295.0
793,793,176,176.0
794,794,226,226.0
795,795,26,26.0
796,796,101,101.0
797,797,83,83.0
798,798,135,135.0
799,799,353,353.0
800,800,168,168.0
801,801,313,313.0
802,802,89,89.0
803,803,182,182.0
804,804,43,43.0
805,805,333,333.0
806,806,55,55.0
807,807,500,500.0
808,808,372,372.0
809,809,213,213.0
810,810,148,148.0
811,811,150,150.0
812,812,339,339.0
813,813,226,226.0
814,814,61,61.0
815,815,161,161.0
816,816,175,175.0
817,817,232,232.0
818,818,182,182.0
819,819,174,174.0
820,820,332,332.0
821,821,129,129.0
822,822,266,266.0
823,823,211,211.0
824,824,55,55.0
825,825,231,231.0
826,826,152,152.0
827,827,359,359.0
828,828,202,202.0
829,829,208,208.0
830,830,169,169.0
831,831,258,258.0
832,832,387,387.0
833,833,158,158.0
834,834,185,185.0
835,835,202,202.0
836,836,174,174.0
837,837,271,271.0
838,838,147,147.0
839,839,116,116.0
840,840,245,245.0
841,841,248,248.0
842,842,227,227.0
843,843,203,203.0
844,844,324,324.0
845,845,165,165.0
846,846,243,243.0
847,847,280,280.0
848,848,194,194.0
849,849,276,276.0
850,850,248,248.0
851,851,280,280.0
852,852,500,500.0
853,853,459,459.0
854,854,277,277.0
855,855,92,92.0
856,856,500,500.0
857,857,308,308.0
858,858,500,500.0
859,859,312,312.0
860,860,489,489.0
861,861,500,500.0
862,862,260,260.0
863,863,243,243.0
864,864,453,453.0
865,865,215,215.0
866,866,265,265.0
867,867,269,269.0
868,868,113,113.0
869,869,428,428.0
870,870,309,309.0
871,871,500,500.0
872,872,331,331.0
873,873,222,222.0
874,874,100,100.0
875,875,216,216.0
876,876,339,339.0
877,877,500,500.0
878,878,500,500.0
879,879,288,288.0
880,880,384,384.0
881,881,461,461.0
882,882,216,216.0
883,883,262,262.0
884,884,500,500.0
885,885,459,459.0
886,886,486,486.0
887,887,274,274.0
888,888,474,474.0
889,889,385,385.0
890,890,303,303.0
891,891,376,376.0
892,892,109,109.0
893,893,178,178.0
894,894,194,194.0
895,895,272,272.0
896,896,236,236.0
897,897,215,215.0
898,898,148,148.0
899,899,41,41.0
900,900,216,216.0
901,901,342,342.0
902,902,232,232.0
903,903,181,181.0
904,904,265,265.0
905,905,226,226.0
906,906,210,210.0
907,907,500,500.0
908,908,275,275.0
909,909,304,304.0
910,910,173,173.0
911,911,500,500.0
912,912,500,500.0
913,913,327,327.0
914,914,409,409.0
915,915,122,122.0
916,916,118,118.0
917,917,193,193.0
918,918,272,272.0
919,919,492,492.0
920,920,500,500.0
921,921,347,347.0
922,922,332,332.0
923,923,203,203.0
924,924,171,171.0
925,925,226,226.0
926,926,432,432.0
927,927,500,500.0
928,928,500,500.0
929,929,113,113.0
930,930,317,317.0
931,931,500,500.0
932,932,454,454.0
933,933,308,308.0
934,934,500,500.0
935,935,301,301.0
936,936,494,494.0
937,937,450,450.0
938,938,500,500.0
939,939,133,133.0
940,940,500,500.0
941,941,254,254.0
942,942,399,399.0
943,943,322,322.0
944,944,162,162.0
945,945,312,312.0
946,946,313,313.0
947,947,404,404.0
948,948,209,209.0
949,949,165,165.0
950,950,395,395.0
951,951,339,339.0
952,952,270,270.0
953,953,190,190.0
954,954,500,500.0
955,955,500,500.0
956,956,286,286.0
957,957,163,163.0
958,958,500,500.0
959,959,228,228.0
960,960,163,163.0
961,961,500,500.0
962,962,500,500.0
963,963,500,500.0
964,964,139,139.0
965,965,500,500.0
966,966,500,500.0
967,967,500,500.0
968,968,348,348.0
969,969,500,500.0
970,970,500,500.0
971,971,500,500.0
972,972,500,500.0
973,973,176,176.0
974,974,249,249.0
975,975,226,226.0
976,976,349,349.0
977,977,253,253.0
978,978,188,188.0
979,979,500,500.0
980,980,500,500.0
981,981,319,319.0
982,982,500,500.0
983,983,500,500.0
984,984,294,294.0
985,985,500,500.0
986,986,500,500.0
987,987,500,500.0
988,988,410,410.0
989,989,500,500.0
990,990,427,427.0
991,991,178,178.0
992,992,500,500.0
993,993,500,500.0
994,994,500,500.0
995,995,164,164.0
996,996,329,329.0
997,997,288,288.0
998,998,409,409.0
999,999,256,256.0
1000,1000,310,310.0
1001,1001,370,370.0
1002,1002,430,430.0
1003,1003,500,500.0
1004,1004,500,500.0
1005,1005,500,500.0
1006,1006,280,280.0
1007,1007,500,500.0
1008,1008,180,180.0
1009,1009,433,433.0
1010,1010,500,500.0
1011,1011,214,214.0
1012,1012,396,396.0
1013,1013,344,344.0
1014,1014,258,258.0
1015,1015,249,249.0
1016,1016,432,432.0
1017,1017,391,391.0
1018,1018,308,308.0
1019,1019,460,460.0
1020,1020,332,332.0
1021,1021,231,231.0
1022,1022,226,226.0
1023,1023,257,257.0
1024,1024,329,329.0
1025,1025,344,344.0
1026,1026,278,278.0
1027,1027,227,227.0
1028,1028,261,261.0
1029,1029,384,384.0
1030,1030,323,323.0
1031,1031,290,290.0
1032,1032,344,344.0
1033,1033,192,192.0
1034,1034,335,335.0
1035,1035,253,253.0
1036,1036,500,500.0
1037,1037,500,500.0
1038,1038,309,309.0
1039,1039,357,357.0
1040,1040,268,268.0
1041,1041,350,350.0
1042,1042,324,324.0
1043,1043,371,371.0
1044,1044,329,329.0
1045,1045,310,310.0
1046,1046,436,436.0
1047,1047,238,238.0
1048,1048,392,392.0
1049,1049,224,224.0
1050,1050,292,292.0
1051,1051,321,321.0
1052,1052,313,313.0
1053,1053,301,301.0
1054,1054,453,453.0
1055,1055,393,393.0
1056,1056,480,480.0
1057,1057,500,500.0
1058,1058,451,451.0
1059,1059,364,364.0
1060,1060,395,395.0
1061,1061,369,369.0
1062,1062,500,500.0
1063,1063,127,127.0
1064,1064,224,224.0
1065,1065,500,500.0
1066,1066,409,409.0
1067,1067,500,500.0
1068,1068,500,500.0
1069,1069,500,500.0
1070,1070,500,500.0
1071,1071,500,500.0
1072,1072,500,500.0
1073,1073,500,500.0
1074,1074,500,500.0
1075,1075,500,500.0
1076,1076,500,500.0
1077,1077,500,500.0
1078,1078,500,500.0
1079,1079,500,500.0
1080,1080,500,500.0
1081,1081,405,405.0
1082,1082,98,98.0
1083,1083,500,500.0
1084,1084,183,183.0
1085,1085,500,500.0
1086,1086,500,500.0
1087,1087,500,500.0
1088,1088,155,155.0
1089,1089,500,500.0
1090,1090,500,500.0
1091,1091,283,283.0
1092,1092,500,500.0
1093,1093,477,477.0
1094,1094,439,439.0
1095,1095,500,500.0
1096,1096,500,500.0
1097,1097,500,500.0
1098,1098,468,468.0
1099,1099,500,500.0
1100,1100,175,175.0
1101,1101,500,500.0
1102,1102,428,428.0
1103,1103,500,500.0
1104,1104,500,500.0
1105,1105,500,500.0
1106,1106,500,500.0
1107,1107,500,500.0
1108,1108,500,500.0
1109,1109,276,276.0
1110,1110,500,500.0
1111,1111,493,493.0
1112,1112,500,500.0
1113,1113,500,500.0
1114,1114,500,500.0
1115,1115,500,500.0
1116,1116,500,500.0
1117,1117,500,500.0
1118,1118,500,500.0
1119,1119,500,500.0
1120,1120,500,500.0
1121,1121,500,500.0
1122,1122,500,500.0
1123,1123,500,500.0
1124,1124,500,500.0
1125,1125,500,500.0
1126,1126,500,500.0
1127,1127,500,500.0
1128,1128,500,500.0
1129,1129,500,500.0
1130,1130,500,500.0
1131,1131,500,500.0
1132,1132,500,500.0
1133,1133,500,500.0
1134,1134,500,500.0
1135,1135,119,119.0
1136,1136,490,490.0
1137,1137,500,500.0
1138,1138,500,500.0
1139,1139,352,352.0
1140,1140,500,500.0
1141,1141,500,500.0
1142,1142,500,500.0
1143,1143,500,500.0
1144,1144,197,197.0
1145,1145,391,391.0
1146,1146,500,500.0
1147,1147,500,500.0
1148,1148,318,318.0
1149,1149,72,72.0
1150,1150,500,500.0
1151,1151,500,500.0
1152,1152,500,500.0
1153,1153,500,500.0
1154,1154,500,500.0
1155,1155,500,500.0
1156,1156,500,500.0
1157,1157,290,290.0
1158,1158,463,463.0
1159,1159,500,500.0
1160,1160,500,500.0
1161,1161,500,500.0
1162,1162,500,500.0
1163,1163,500,500.0
1164,1164,500,500.0
1165,1165,500,500.0
1166,1166,500,500.0
1167,1167,500,500.0
1168,1168,500,500.0
1169,1169,500,500.0
1170,1170,500,500.0
1171,1171,500,500.0
1172,1172,242,242.0
1173,1173,500,500.0
1174,1174,435,435.0
1175,1175,500,500.0
1176,1176,253,253.0
1177,1177,500,500.0
1178,1178,279,279.0
1179,1179,500,500.0
1180,1180,500,500.0
1181,1181,449,449.0
1182,1182,500,500.0
1183,1183,500,500.0
1184,1184,500,500.0
1185,1185,500,500.0
1186,1186,500,500.0
1187,1187,500,500.0
1188,1188,223,223.0
1189,1189,500,500.0
1190,1190,500,500.0
1191,1191,500,500.0
1192,1192,500,500.0
1193,1193,500,500.0
1194,1194,500,500.0
1195,1195,500,500.0
1196,1196,364,364.0
1197,1197,500,500.0
1198,1198,500,500.0
1199,1199,285,285.0
1200,1200,500,500.0
1201,1201,500,500.0
1202,1202,500,500.0
1203,1203,500,500.0
1204,1204,500,500.0
1205,1205,500,500.0
1206,1206,93,93.0
1207,1207,250,250.0
1208,1208,500,500.0
1209,1209,500,500.0
1210,1210,209,209.0
1211,1211,496,496.0
1212,1212,500,500.0
1213,1213,216,216.0
1214,1214,500,500.0
1215,1215,500,500.0
1216,1216,500,500.0
1217,1217,500,500.0
1218,1218,500,500.0
1219,1219,500,500.0
1220,1220,500,500.0
1221,1221,500,500.0
1222,1222,500,500.0
1223,1223,500,500.0
1224,1224,356,356.0
1225,1225,500,500.0
1226,1226,500,500.0
1227,1227,233,233.0
1228,1228,169,169.0
1229,1229,458,458.0
1230,1230,500,500.0
1231,1231,500,500.0
1232,1232,500,500.0
1233,1233,396,396.0
1234,1234,309,309.0
1235,1235,497,497.0
1236,1236,472,472.0
1237,1237,433,433.0
1238,1238,499,499.0
1239,1239,383,383.0
1240,1240,419,419.0
1241,1241,257,257.0
1242,1242,363,363.0
1243,1243,407,407.0
1244,1244,490,490.0
1245,1245,500,500.0
1246,1246,500,500.0
1247,1247,415,415.0
1248,1248,422,422.0
1249,1249,500,500.0
1250,1250,186,186.0
1251,1251,500,500.0
1252,1252,387,387.0
1253,1253,171,171.0
1254,1254,348,348.0
1255,1255,500,500.0
1256,1256,500,500.0
1257,1257,500,500.0
1258,1258,500,500.0
1259,1259,500,500.0
1260,1260,500,500.0
1261,1261,500,500.0
1262,1262,500,500.0
1263,1263,500,500.0
1264,1264,500,500.0
1265,1265,500,500.0
1266,1266,500,500.0
1267,1267,500,500.0
1268,1268,500,500.0
1269,1269,300,300.0
1270,1270,500,500.0
1271,1271,500,500.0
1272,1272,445,445.0
1273,1273,431,431.0
1274,1274,500,500.0
1275,1275,336,336.0
1276,1276,500,500.0
1277,1277,500,500.0
1278,1278,500,500.0
1279,1279,149,149.0
1280,1280,500,500.0
1281,1281,500,500.0
1282,1282,186,186.0
1283,1283,500,500.0
1284,1284,500,500.0
1285,1285,500,500.0
1286,1286,500,500.0
1287,1287,380,380.0
1288,1288,500,500.0
1289,1289,500,500.0
1290,1290,338,338.0
1291,1291,500,500.0
1292,1292,500,500.0
1293,1293,500,500.0
1294,1294,396,396.0
1295,1295,202,202.0
1296,1296,500,500.0
1297,1297,500,500.0
1298,1298,500,500.0
1299,1299,500,500.0
1300,1300,500,500.0
1301,1301,320,320.0
1302,1302,500,500.0
1303,1303,500,500.0
1304,1304,500,500.0
1305,1305,500,500.0
1306,1306,500,500.0
